model,id,orig,min,max,mean,std
GPT2-medium,0,0.0,0.0,0.0,0.0,0.0
EleutherAI-pythia-410m,0,0.0,0.0,0.0,0.0,0.0
Falcon-7b-instruct,0,0.0,0.0,0.0,0.0,0.0
GPT2-medium,1,0.2,0.0,0.5,0.09,0.157797338380595
EleutherAI-pythia-410m,1,0.1,0.0,0.2,0.0666666666666666,0.0816496580927726
Falcon-7b-instruct,1,0.85,0.2,0.85,0.7055555555555555,0.2454524670486058
GPT2-medium,2,0.0,0.0,0.9,0.1,0.282842712474619
EleutherAI-pythia-410m,2,0.0,0.0,0.8,0.1777777777777777,0.3325917677132392
Falcon-7b-instruct,2,0.0,0.0,0.1,0.0125,0.0330718913883073
GPT2-medium,3,0.0,0.0,0.9,0.1399999999999999,0.2939387691339813
EleutherAI-pythia-410m,3,0.9,0.0,0.9,0.2333333333333333,0.3431876713662333
Falcon-7b-instruct,3,0.0,0.0,0.0,0.0,0.0
GPT2-medium,4,0.75,0.0,0.75,0.18,0.2917190429162964
EleutherAI-pythia-410m,4,0.8,0.0,0.9,0.2777777777777778,0.3937787810370967
Falcon-7b-instruct,4,0.8,0.0,0.8,0.48,0.3919183588453085
GPT2-medium,5,0.0,0.0,0.8,0.18,0.31559467676119
EleutherAI-pythia-410m,5,0.0,0.0,0.2,0.025,0.0661437827766147
Falcon-7b-instruct,5,0.8,0.0,0.85,0.71875,0.2726461763898404
GPT2-medium,6,0.7,0.0,0.7,0.2666666666666666,0.282842712474619
EleutherAI-pythia-410m,6,0.2,0.0,0.9,0.4777777777777777,0.3880944265905107
Falcon-7b-instruct,6,0.9,0.0,0.9,0.6950000000000001,0.3496069221282668
GPT2-medium,7,0.0,0.0,0.0,0.0,0.0
EleutherAI-pythia-410m,7,0.0,0.0,0.8,0.24,0.3666060555964672
Falcon-7b-instruct,7,0.0,0.0,0.5,0.12,0.198997487421324
GPT2-medium,8,0.0,0.0,1.0,0.19,0.3590264614203249
EleutherAI-pythia-410m,8,0.0,0.0,0.9,0.11,0.27
Falcon-7b-instruct,8,0.8,0.0,0.9,0.6649999999999999,0.2881405906844782
GPT2-medium,9,0.0,0.0,0.3,0.05,0.0921954445729288
EleutherAI-pythia-410m,9,0.0,0.0,0.8,0.08,0.24
Falcon-7b-instruct,9,0.2,0.2,0.7,0.2888888888888889,0.1728483242900449
GPT2-medium,10,0.2,0.0,0.8,0.2,0.3098386676965934
EleutherAI-pythia-410m,10,0.0,0.0,0.9,0.1,0.282842712474619
Falcon-7b-instruct,10,0.8,0.0,0.95,0.538888888888889,0.3557291243018249
GPT2-medium,11,0.0,0.0,0.3,0.0625,0.1111024302164448
EleutherAI-pythia-410m,11,0.75,0.0,0.9,0.37,0.3815756805667782
Falcon-7b-instruct,11,0.8,0.0,0.95,0.765,0.2608160271148995
GPT2-medium,12,0.0,0.0,0.8,0.18,0.2638181191654584
EleutherAI-pythia-410m,12,0.0,0.0,0.95,0.265,0.3146823795511912
Falcon-7b-instruct,12,0.8,0.0,0.8,0.4599999999999999,0.290516780926679
GPT2-medium,13,0.0,0.0,0.9,0.26,0.397994974842648
EleutherAI-pythia-410m,13,0.8,0.0,1.0,0.3,0.4055175020198813
Falcon-7b-instruct,13,0.8,0.7,0.8,0.7749999999999999,0.0433012701892219
GPT2-medium,14,0.0,0.0,0.9,0.34,0.3583294573433783
